EID,Date,Time
2013,2022-01-04,01:35:48.098186
2020,2022-01-04,01:35:48.103135
2030,2022-01-04,01:35:48.108181
2025,2022-01-04,01:35:48.112199
2010,2022-01-04,01:35:48.117185
2028,2022-01-04,01:35:48.122137
2031,2022-01-04,01:35:48.127136
2023,2022-01-04,01:35:48.133384
2022,2022-01-04,01:35:48.139387
2025,2022-01-05,01:35:48.143432
2008,2022-01-05,01:35:48.147432
2030,2022-01-05,01:35:48.153424
2026,2022-01-05,01:35:48.158387
2020,2022-01-05,01:35:48.162447
2023,2022-01-05,01:35:48.168432
2019,2022-01-05,01:35:48.173543
2027,2022-01-05,01:35:48.178881
2018,2022-01-05,01:35:48.183885
2012,2022-01-05,01:35:48.187933
2031,2022-01-05,01:35:48.192493
2013,2022-01-05,01:35:48.198718
2017,2022-01-05,01:35:48.202771
2021,2022-01-05,01:35:48.207772
2016,2022-01-05,01:35:48.212779
2028,2022-01-05,01:35:48.218759
2011,2022-01-05,01:35:48.225333
2010,2022-01-05,01:35:48.231406
2007,2022-01-05,01:35:48.238334
2022,2022-01-05,01:35:48.246333
2021,2022-01-06,01:35:48.256346
2031,2022-01-06,01:35:48.261334
2029,2022-01-06,01:35:48.267333
2011,2022-01-06,01:35:48.271383
2023,2022-01-06,01:35:48.276544
2030,2022-01-06,01:35:48.281607
2015,2022-01-06,01:35:48.286404
2013,2022-01-06,01:35:48.291962
2026,2022-01-06,01:35:48.297926
2006,2022-01-06,01:35:48.302976
2019,2022-01-06,01:35:48.308927
2025,2022-01-06,01:35:48.313979
2018,2022-01-06,01:35:48.318926
2016,2022-01-06,01:35:48.323970
2004,2022-01-06,01:35:48.331933
2009,2022-01-06,01:35:48.338747
2014,2022-01-06,01:35:48.343750
2005,2022-01-06,01:35:48.348750
2022,2022-01-06,01:35:48.354818
2008,2022-01-06,01:35:48.359795
2026,2022-01-07,01:35:48.364796
2031,2022-01-07,01:35:48.369801
2006,2022-01-07,01:35:48.374751
2005,2022-01-07,01:35:48.378800
2008,2022-01-07,01:35:48.383800
2029,2022-01-07,01:35:48.388799
2021,2022-01-07,01:35:48.394349
2011,2022-01-07,01:35:48.398411
2030,2022-01-07,01:35:48.405133
2025,2022-01-07,01:35:48.409137
2013,2022-01-07,01:35:48.417514
2016,2022-01-07,01:35:48.423605
2015,2022-01-07,01:35:48.436023
2019,2022-01-07,01:35:48.441091
2007,2022-01-07,01:35:48.446089
2028,2022-01-07,01:35:48.451711
2014,2022-01-07,01:35:48.457700
2018,2022-01-07,01:35:48.463641
2012,2022-01-07,01:35:48.468306
2009,2022-01-07,01:35:48.476309
2010,2022-01-08,01:35:48.481360
2022,2022-01-08,01:35:48.487942
2019,2022-01-08,01:35:48.492581
2029,2022-01-08,01:35:48.497584
2016,2022-01-08,01:35:48.502228
2024,2022-01-08,01:35:48.507216
2021,2022-01-08,01:35:48.512204
2026,2022-01-08,01:35:48.516776
2009,2022-01-08,01:35:48.523851
2027,2022-01-08,01:35:48.528817
2014,2022-01-08,01:35:48.537415
2017,2022-01-08,01:35:48.546419
2012,2022-01-08,01:35:48.552483
2004,2022-01-08,01:35:48.557413
2005,2022-01-08,01:35:48.562413
2015,2022-01-08,01:35:48.567465
2030,2022-01-08,01:35:48.572460
2013,2022-01-08,01:35:48.577474
2020,2022-01-08,01:35:48.581529
2028,2022-01-08,01:35:48.588474
2011,2022-01-08,01:35:48.594053
2007,2022-01-08,01:35:48.600050
2025,2022-01-08,01:35:48.606074
2011,2022-01-09,01:35:48.612051
2019,2022-01-09,01:35:48.617051
2020,2022-01-09,01:35:48.624229
2008,2022-01-09,01:35:48.629262
2029,2022-01-09,01:35:48.633248
2016,2022-01-09,01:35:48.640060
2023,2022-01-09,01:35:48.645064
2013,2022-01-09,01:35:48.650064
2012,2022-01-09,01:35:48.656109
2017,2022-01-09,01:35:48.661114
2030,2022-01-09,01:35:48.667104
2028,2022-01-09,01:35:48.673123
2004,2022-01-09,01:35:48.678117
2026,2022-01-09,01:35:48.684567
2024,2022-01-09,01:35:48.689617
2027,2022-01-09,01:35:48.695184
2014,2022-01-09,01:35:48.700235
2031,2022-01-09,01:35:48.707301
2015,2022-01-09,01:35:48.712352
2009,2022-01-09,01:35:48.718305
2018,2022-01-09,01:35:48.724305
2006,2022-01-09,01:35:48.729350
2007,2022-01-09,01:35:48.737305
2016,2022-01-10,01:35:48.743305
2026,2022-01-10,01:35:48.749344
2018,2022-01-10,01:35:48.758304
2031,2022-01-10,01:35:48.763350
2021,2022-01-10,01:35:48.768305
2012,2022-01-10,01:35:48.772359
2005,2022-01-10,01:35:48.778360
2007,2022-01-10,01:35:48.783353
2015,2022-01-10,01:35:48.788353
2024,2022-01-10,01:35:48.795940
2023,2022-01-10,01:35:48.801997
2006,2022-01-10,01:35:48.809964
2020,2022-01-10,01:35:48.817003
2009,2022-01-10,01:35:48.823940
2011,2022-01-10,01:35:48.831991
2019,2022-01-10,01:35:48.840946
2029,2022-01-10,01:35:48.847943
2010,2022-01-10,01:35:48.853939
2028,2022-01-10,01:35:48.858940
2014,2022-01-10,01:35:48.863940
2030,2022-01-10,01:35:48.868940
2027,2022-01-10,01:35:48.874013
2025,2022-01-11,01:35:48.879032
2012,2022-01-11,01:35:48.883986
2028,2022-01-11,01:35:48.889999
2022,2022-01-11,01:35:48.894592
2013,2022-01-11,01:35:48.900597
2006,2022-01-11,01:35:48.906596
2019,2022-01-11,01:35:48.912588
2020,2022-01-11,01:35:48.917598
2024,2022-01-11,01:35:48.923610
2021,2022-01-11,01:35:48.928598
2007,2022-01-11,01:35:48.934551
2027,2022-01-11,01:35:48.939596
2009,2022-01-11,01:35:48.947073
2017,2022-01-11,01:35:48.953067
2011,2022-01-11,01:35:48.958028
2004,2022-01-11,01:35:48.963075
2014,2022-01-11,01:35:48.969077
2010,2022-01-11,01:35:48.975067
2016,2022-01-11,01:35:48.979125
2026,2022-01-11,01:35:48.988120
2029,2022-01-11,01:35:48.994722
2015,2022-01-11,01:35:48.999771
2018,2022-01-11,01:35:49.006746
2014,2022-01-12,01:35:49.013719
2009,2022-01-12,01:35:49.018729
2005,2022-01-12,01:35:49.024745
2008,2022-01-12,01:35:49.030794
2023,2022-01-12,01:35:49.034851
2016,2022-01-12,01:35:49.040844
2020,2022-01-12,01:35:49.046866
2017,2022-01-12,01:35:49.051852
2006,2022-01-12,01:35:49.057807
2004,2022-01-12,01:35:49.062864
2013,2022-01-12,01:35:49.067854
2030,2022-01-12,01:35:49.073806
2015,2022-01-12,01:35:49.078903
2024,2022-01-12,01:35:49.084855
2021,2022-01-12,01:35:49.091349
2007,2022-01-12,01:35:49.095911
2012,2022-01-12,01:35:49.102050
2011,2022-01-12,01:35:49.108054
2019,2022-01-12,01:35:49.114054
2025,2022-01-12,01:35:49.122057
2010,2022-01-12,01:35:49.128090
2024,2022-01-13,01:35:49.134054
2030,2022-01-13,01:35:49.140565
2023,2022-01-13,01:35:49.145616
2022,2022-01-13,01:35:49.150617
2008,2022-01-13,01:35:49.155619
2009,2022-01-13,01:35:49.160618
2010,2022-01-13,01:35:49.165619
2026,2022-01-13,01:35:49.171606
2015,2022-01-13,01:35:49.176614
2027,2022-01-13,01:35:49.182284
2031,2022-01-13,01:35:49.189339
2014,2022-01-13,01:35:49.194956
2016,2022-01-13,01:35:49.200908
2018,2022-01-13,01:35:49.204961
2006,2022-01-13,01:35:49.211951
2019,2022-01-13,01:35:49.219869
2007,2022-01-13,01:35:49.224934
2021,2022-01-13,01:35:49.230908
2017,2022-01-13,01:35:49.236909
2004,2022-01-13,01:35:49.240927
2029,2022-01-13,01:35:49.248875
2012,2022-01-13,01:35:49.257873
2020,2022-01-13,01:35:49.263889
2028,2022-01-13,01:35:49.269932
2014,2022-01-14,01:35:49.273916
2006,2022-01-14,01:35:49.279960
2020,2022-01-14,01:35:49.284668
2019,2022-01-14,01:35:49.290428
2018,2022-01-14,01:35:49.300008
2004,2022-01-14,01:35:49.307013
2030,2022-01-14,01:35:49.314987
2012,2022-01-14,01:35:49.324968
2009,2022-01-14,01:35:49.332020
2013,2022-01-14,01:35:49.341014
2015,2022-01-14,01:35:49.349968
2024,2022-01-14,01:35:49.354685
2022,2022-01-14,01:35:49.361689
2008,2022-01-14,01:35:49.366692
2028,2022-01-14,01:35:49.373547
2010,2022-01-14,01:35:49.379623
2016,2022-01-14,01:35:49.384623
2031,2022-01-14,01:35:49.390664
2027,2022-01-14,01:35:49.396227
2011,2022-01-14,01:35:49.407758
2022,2022-01-15,01:35:49.413812
2027,2022-01-15,01:35:49.418803
2023,2022-01-15,01:35:49.423804
2029,2022-01-15,01:35:49.431573
2019,2022-01-15,01:35:49.439040
2006,2022-01-15,01:35:49.444085
2018,2022-01-15,01:35:49.450791
2011,2022-01-15,01:35:49.456792
2020,2022-01-15,01:35:49.462823
2028,2022-01-15,01:35:49.468840
2015,2022-01-15,01:35:49.474830
2010,2022-01-15,01:35:49.482825
2009,2022-01-15,01:35:49.489948
2004,2022-01-15,01:35:49.496552
2013,2022-01-15,01:35:49.501559
2012,2022-01-15,01:35:49.507515
2026,2022-01-15,01:35:49.513571
2014,2022-01-15,01:35:49.519558
2017,2022-01-15,01:35:49.525562
2021,2022-01-15,01:35:49.531559
2025,2022-01-15,01:35:49.537552
2016,2022-01-15,01:35:49.541559
2031,2022-01-16,01:35:49.551727
2018,2022-01-16,01:35:49.557724
2006,2022-01-16,01:35:49.564724
2008,2022-01-16,01:35:49.569724
2017,2022-01-16,01:35:49.575724
2013,2022-01-16,01:35:49.580811
2011,2022-01-16,01:35:49.588487
2014,2022-01-16,01:35:49.596018
2030,2022-01-16,01:35:49.601921
2019,2022-01-16,01:35:49.607917
2020,2022-01-16,01:35:49.612966
2015,2022-01-16,01:35:49.619605
2016,2022-01-16,01:35:49.624663
2009,2022-01-16,01:35:49.632605
2023,2022-01-16,01:35:49.639605
2021,2022-01-16,01:35:49.645605
2026,2022-01-16,01:35:49.651647
2004,2022-01-16,01:35:49.657605
2005,2022-01-16,01:35:49.664657
2022,2022-01-16,01:35:49.670647
2024,2022-01-16,01:35:49.676605
2009,2022-01-17,01:35:49.684612
2031,2022-01-17,01:35:49.690656
2010,2022-01-17,01:35:49.697242
2007,2022-01-17,01:35:49.702295
2008,2022-01-17,01:35:49.709175
2018,2022-01-17,01:35:49.717120
2025,2022-01-17,01:35:49.724157
2027,2022-01-17,01:35:49.730165
2004,2022-01-17,01:35:49.738121
2017,2022-01-17,01:35:49.744199
2020,2022-01-17,01:35:49.754123
2026,2022-01-17,01:35:49.764122
2011,2022-01-17,01:35:49.771120
2019,2022-01-17,01:35:49.778133
2023,2022-01-17,01:35:49.788198
2029,2022-01-17,01:35:49.796742
2013,2022-01-17,01:35:49.805783
2024,2022-01-17,01:35:49.813796
2012,2022-01-17,01:35:49.822789
2005,2022-01-17,01:35:49.833781
2015,2022-01-17,01:35:49.843740
2006,2022-01-17,01:35:49.855745
2009,2022-01-18,01:35:49.865792
2005,2022-01-18,01:35:49.871742
2019,2022-01-18,01:35:49.879746
2013,2022-01-18,01:35:49.884791
2027,2022-01-18,01:35:49.891542
2020,2022-01-18,01:35:49.898184
2016,2022-01-18,01:35:49.904186
2015,2022-01-18,01:35:49.909129
2028,2022-01-18,01:35:49.917129
2022,2022-01-18,01:35:49.924156
2021,2022-01-18,01:35:49.933177
2008,2022-01-18,01:35:49.939098
2026,2022-01-18,01:35:49.947163
2017,2022-01-18,01:35:49.954101
2012,2022-01-18,01:35:49.958814
2031,2022-01-18,01:35:49.967811
2030,2022-01-18,01:35:49.973229
2014,2022-01-18,01:35:49.981258
2024,2022-01-18,01:35:49.987257
2029,2022-01-18,01:35:49.995366
2025,2022-01-18,01:35:50.001374
2006,2022-01-18,01:35:50.007363
2018,2022-01-18,01:35:50.015064
2004,2022-01-18,01:35:50.020121
2007,2022-01-18,01:35:50.027070
2005,2022-01-19,01:35:50.033081
2004,2022-01-19,01:35:50.039068
2024,2022-01-19,01:35:50.047071
2019,2022-01-19,01:35:50.053126
2007,2022-01-19,01:35:50.060068
2010,2022-01-19,01:35:50.068127
2026,2022-01-19,01:35:50.073112
2021,2022-01-19,01:35:50.081171
2020,2022-01-19,01:35:50.088122
2015,2022-01-19,01:35:50.094260
2030,2022-01-19,01:35:50.106925
2027,2022-01-19,01:35:50.113966
2013,2022-01-19,01:35:50.119961
2012,2022-01-19,01:35:50.127987
2023,2022-01-19,01:35:50.134970
2016,2022-01-19,01:35:50.141961
2022,2022-01-19,01:35:50.151927
2018,2022-01-19,01:35:50.156977
2017,2022-01-19,01:35:50.165978
2008,2022-01-19,01:35:50.173973
2031,2022-01-19,01:35:50.186014
2006,2022-01-19,01:35:50.192069
2029,2022-01-19,01:35:50.202410
2025,2022-01-20,01:35:50.211365
2027,2022-01-20,01:35:50.218409
2015,2022-01-20,01:35:50.224365
2013,2022-01-20,01:35:50.234395
2030,2022-01-20,01:35:50.240426
2018,2022-01-20,01:35:50.247416
2031,2022-01-20,01:35:50.253380
2004,2022-01-20,01:35:50.259366
2022,2022-01-20,01:35:50.267420
2008,2022-01-20,01:35:50.276367
2006,2022-01-20,01:35:50.283424
2023,2022-01-20,01:35:50.288420
2012,2022-01-20,01:35:50.295939
2028,2022-01-20,01:35:50.302927
2026,2022-01-20,01:35:50.309928
2011,2022-01-20,01:35:50.317928
2029,2022-01-20,01:35:50.324952
2009,2022-01-20,01:35:50.335927
2019,2022-01-20,01:35:50.345928
2016,2022-01-20,01:35:50.357943
2021,2022-01-20,01:35:50.367972
2024,2022-01-20,01:35:50.373927
2014,2022-01-20,01:35:50.381970
2018,2022-01-21,01:35:50.387986
2012,2022-01-21,01:35:50.395200
2010,2022-01-21,01:35:50.403268
2031,2022-01-21,01:35:50.409266
2027,2022-01-21,01:35:50.416203
2009,2022-01-21,01:35:50.420251
2026,2022-01-21,01:35:50.428205
2023,2022-01-21,01:35:50.436201
2014,2022-01-21,01:35:50.442247
2011,2022-01-21,01:35:50.449273
2020,2022-01-21,01:35:50.455023
2008,2022-01-21,01:35:50.463031
2021,2022-01-21,01:35:50.468029
2030,2022-01-21,01:35:50.474073
2022,2022-01-21,01:35:50.480032
2013,2022-01-21,01:35:50.487087
2028,2022-01-21,01:35:50.494626
2006,2022-01-21,01:35:50.500594
2005,2022-01-21,01:35:50.506666
2015,2022-01-21,01:35:50.513596
2017,2022-01-21,01:35:50.519618
2025,2022-01-21,01:35:50.528556
2019,2022-01-21,01:35:50.536556
2016,2022-01-21,01:35:50.543557
2022,2022-01-22,01:35:50.550864
2020,2022-01-22,01:35:50.556866
2017,2022-01-22,01:35:50.564249
2012,2022-01-22,01:35:50.571252
2030,2022-01-22,01:35:50.577253
2018,2022-01-22,01:35:50.583307
2025,2022-01-22,01:35:50.589316
2006,2022-01-22,01:35:50.597563
2019,2022-01-22,01:35:50.603387
2005,2022-01-22,01:35:50.612389
2011,2022-01-22,01:35:50.618445
2016,2022-01-22,01:35:50.624221
2026,2022-01-22,01:35:50.630221
2031,2022-01-22,01:35:50.639187
2021,2022-01-22,01:35:50.645245
2027,2022-01-22,01:35:50.652187
2010,2022-01-22,01:35:50.658125
2024,2022-01-22,01:35:50.665128
2013,2022-01-22,01:35:50.671173
2015,2022-01-22,01:35:50.680131
2004,2022-01-22,01:35:50.685177
2014,2022-01-22,01:35:50.691177
2029,2022-01-22,01:35:50.699674
2008,2022-01-22,01:35:50.705674
2012,2022-01-23,01:35:50.713675
2024,2022-01-23,01:35:50.719900
2026,2022-01-23,01:35:50.725554
2008,2022-01-23,01:35:50.730602
2015,2022-01-23,01:35:50.736601
2013,2022-01-23,01:35:50.744500
2025,2022-01-23,01:35:50.749772
2006,2022-01-23,01:35:50.758450
2029,2022-01-23,01:35:50.764116
2021,2022-01-23,01:35:50.773118
2019,2022-01-23,01:35:50.780122
2017,2022-01-23,01:35:50.789123
2027,2022-01-23,01:35:50.797618
2014,2022-01-23,01:35:50.803687
2030,2022-01-23,01:35:50.809625
2009,2022-01-23,01:35:50.815618
2022,2022-01-23,01:35:50.821619
2031,2022-01-23,01:35:50.828619
2016,2022-01-23,01:35:50.836621
2012,2022-01-24,01:35:50.844621
2028,2022-01-24,01:35:50.855621
2010,2022-01-24,01:35:50.863619
2020,2022-01-24,01:35:50.879623
2008,2022-01-24,01:35:50.885623
2017,2022-01-24,01:35:50.904202
2006,2022-01-24,01:35:50.909244
2009,2022-01-24,01:35:50.916202
2030,2022-01-24,01:35:50.922202
2004,2022-01-24,01:35:50.931202
2026,2022-01-24,01:35:50.936202
2021,2022-01-24,01:35:50.942203
2029,2022-01-24,01:35:50.950363
2016,2022-01-24,01:35:50.955350
2014,2022-01-24,01:35:50.962887
2011,2022-01-24,01:35:50.968880
2024,2022-01-24,01:35:50.975880
2005,2022-01-24,01:35:50.981920
2031,2022-01-24,01:35:50.987920
2027,2022-01-24,01:35:50.996607
2023,2022-01-24,01:35:51.006525
2019,2022-01-24,01:35:51.012542
2025,2022-01-24,01:35:51.019525
2014,2022-01-25,01:35:51.026525
2023,2022-01-25,01:35:51.031572
2008,2022-01-25,01:35:51.037757
2025,2022-01-25,01:35:51.043761
2010,2022-01-25,01:35:51.048761
2027,2022-01-25,01:35:51.054761
2004,2022-01-25,01:35:51.060761
2026,2022-01-25,01:35:51.066761
2029,2022-01-25,01:35:51.073806
2016,2022-01-25,01:35:51.081801
2013,2022-01-25,01:35:51.087804
2031,2022-01-25,01:35:51.096448
2017,2022-01-25,01:35:51.105494
2012,2022-01-25,01:35:51.112448
2011,2022-01-25,01:35:51.119448
2021,2022-01-25,01:35:51.125451
2009,2022-01-25,01:35:51.131448
2015,2022-01-25,01:35:51.137448
2024,2022-01-25,01:35:51.145448
2005,2022-01-25,01:35:51.152453
2006,2022-01-25,01:35:51.161448
2019,2022-01-25,01:35:51.167449
2020,2022-01-25,01:35:51.176449
2022,2022-01-25,01:35:51.189486
2021,2022-01-26,01:35:51.202970
2017,2022-01-26,01:35:51.208969
2019,2022-01-26,01:35:51.215019
2013,2022-01-26,01:35:51.221018
2026,2022-01-26,01:35:51.227970
2027,2022-01-26,01:35:51.236969
2015,2022-01-26,01:35:51.242969
2010,2022-01-26,01:35:51.251974
2005,2022-01-26,01:35:51.258994
2007,2022-01-26,01:35:51.266019
2029,2022-01-26,01:35:51.273969
2031,2022-01-26,01:35:51.283984
2006,2022-01-26,01:35:51.295599
2008,2022-01-26,01:35:51.302598
2011,2022-01-26,01:35:51.307683
2024,2022-01-26,01:35:51.315686
2020,2022-01-26,01:35:51.321701
2028,2022-01-26,01:35:51.328686
2023,2022-01-26,01:35:51.336690
2030,2022-01-26,01:35:51.344686
2016,2022-01-26,01:35:51.352744
2021,2022-01-27,01:35:51.362748
2014,2022-01-27,01:35:51.371748
2026,2022-01-27,01:35:51.377766
2006,2022-01-27,01:35:51.387693
2030,2022-01-27,01:35:51.395260
2022,2022-01-27,01:35:51.401314
2028,2022-01-27,01:35:51.407259
2025,2022-01-27,01:35:51.413259
2024,2022-01-27,01:35:51.419307
2011,2022-01-27,01:35:51.426259
2020,2022-01-27,01:35:51.434260
2018,2022-01-27,01:35:51.440971
2007,2022-01-27,01:35:51.447977
2008,2022-01-27,01:35:51.454976
2029,2022-01-27,01:35:51.461973
2031,2022-01-27,01:35:51.494602
2009,2022-01-27,01:35:51.500652
2027,2022-01-27,01:35:51.509644
2013,2022-01-27,01:35:51.518651
2023,2022-01-27,01:35:51.526644
2016,2022-01-27,01:35:51.533645
2017,2022-01-28,01:35:51.539615
2008,2022-01-28,01:35:51.546644
2004,2022-01-28,01:35:51.551626
2020,2022-01-28,01:35:51.557669
2014,2022-01-28,01:35:51.565212
2011,2022-01-28,01:35:51.571216
2024,2022-01-28,01:35:51.576216
2022,2022-01-28,01:35:51.581267
2015,2022-01-28,01:35:51.589268
2016,2022-01-28,01:35:51.594873
2025,2022-01-28,01:35:51.600924
2031,2022-01-28,01:35:51.609876
2012,2022-01-28,01:35:51.617901
2006,2022-01-28,01:35:51.624875
2023,2022-01-28,01:35:51.630876
2018,2022-01-28,01:35:51.638228
2009,2022-01-28,01:35:51.645254
2027,2022-01-28,01:35:51.651231
2005,2022-01-28,01:35:51.662366
2029,2022-01-28,01:35:51.670357
2019,2022-01-28,01:35:51.678323
2008,2022-01-29,01:35:51.685750
2007,2022-01-29,01:35:51.692750
2023,2022-01-29,01:35:51.698363
2006,2022-01-29,01:35:51.705313
2017,2022-01-29,01:35:51.712313
2013,2022-01-29,01:35:51.718357
2018,2022-01-29,01:35:51.726313
2028,2022-01-29,01:35:51.732313
2004,2022-01-29,01:35:51.739315
2009,2022-01-29,01:35:51.745361
2025,2022-01-29,01:35:51.752369
2024,2022-01-29,01:35:51.760313
2012,2022-01-29,01:35:51.773889
2016,2022-01-29,01:35:51.780882
2010,2022-01-29,01:35:51.793904
2015,2022-01-29,01:35:51.804421
2021,2022-01-29,01:35:51.816461
2031,2022-01-29,01:35:51.822460
2011,2022-01-29,01:35:51.831016
2029,2022-01-29,01:35:51.840020
2030,2022-01-29,01:35:51.848019
2028,2022-01-30,01:35:51.861020
2015,2022-01-30,01:35:51.872023
2007,2022-01-30,01:35:51.881085
2018,2022-01-30,01:35:51.888112
2014,2022-01-30,01:35:51.901635
2024,2022-01-30,01:35:51.907683
2008,2022-01-30,01:35:51.916633
2013,2022-01-30,01:35:51.922689
2006,2022-01-30,01:35:51.930634
2010,2022-01-30,01:35:51.935633
2023,2022-01-30,01:35:51.942635
2017,2022-01-30,01:35:51.949633
2004,2022-01-30,01:35:51.957634
2026,2022-01-30,01:35:51.963634
2011,2022-01-30,01:35:51.968687
2005,2022-01-30,01:35:51.975432
2025,2022-01-30,01:35:51.981512
2029,2022-01-30,01:35:51.987511
2020,2022-01-30,01:35:51.994510
2031,2022-01-30,01:35:52.001092
2027,2022-01-30,01:35:52.007023
2019,2022-01-30,01:35:52.015066
2009,2022-01-30,01:35:52.022023
2006,2022-01-31,01:35:52.030095
2011,2022-01-31,01:35:52.035678
2026,2022-01-31,01:35:52.043681
2009,2022-01-31,01:35:52.050737
2027,2022-01-31,01:35:52.057682
2020,2022-01-31,01:35:52.066211
2015,2022-01-31,01:35:52.073011
2025,2022-01-31,01:35:52.079015
2019,2022-01-31,01:35:52.088020
2029,2022-01-31,01:35:52.094067
2028,2022-01-31,01:35:52.100467
2013,2022-01-31,01:35:52.106401
2024,2022-01-31,01:35:52.113401
2005,2022-01-31,01:35:52.121401
2014,2022-01-31,01:35:52.131109
2021,2022-01-31,01:35:52.138183
2022,2022-01-31,01:35:52.147004
2008,2022-01-31,01:35:52.152995
2016,2022-01-31,01:35:52.159995
2023,2022-01-31,01:35:52.167021
2031,2022-01-31,01:35:52.173996
2023,2022-03-01,01:41:25.572567
2026,2022-03-01,01:41:25.579568
2006,2022-03-01,01:41:25.586567
2013,2022-03-01,01:41:25.591507
2008,2022-03-01,01:41:25.596559
2010,2022-03-01,01:41:25.601510
2030,2022-03-01,01:41:25.609515
2018,2022-03-01,01:41:25.614831
2022,2022-03-01,01:41:25.621821
2012,2022-03-01,01:41:25.627829
2019,2022-03-01,01:41:25.631967
2027,2022-03-01,01:41:25.637836
2016,2022-03-01,01:41:25.645811
2004,2022-03-01,01:41:25.653811
2007,2022-03-01,01:41:25.660844
2009,2022-03-01,01:41:25.665809
2024,2022-03-01,01:41:25.671823
2029,2022-03-01,01:41:25.675874
2015,2022-03-01,01:41:25.680809
2017,2022-03-01,01:41:25.685864
2025,2022-03-01,01:41:25.692822
2005,2022-03-01,01:41:25.698807
2006,2022-03-02,01:41:25.705324
2015,2022-03-02,01:41:25.710377
2025,2022-03-02,01:41:25.714981
2005,2022-03-02,01:41:25.721984
2009,2022-03-02,01:41:25.727002
2017,2022-03-02,01:41:25.732933
2023,2022-03-02,01:41:25.739978
2031,2022-03-02,01:41:25.744991
2010,2022-03-02,01:41:25.751933
2007,2022-03-02,01:41:25.757986
2024,2022-03-02,01:41:25.762936
2008,2022-03-02,01:41:25.768486
2029,2022-03-02,01:41:25.773526
2014,2022-03-02,01:41:25.779085
2018,2022-03-02,01:41:25.785088
2011,2022-03-02,01:41:25.789139
2021,2022-03-02,01:41:25.794132
2004,2022-03-02,01:41:25.800136
2012,2022-03-02,01:41:25.805091
2028,2022-03-02,01:41:25.809146
2016,2022-03-02,01:41:25.814091
2027,2022-03-02,01:41:25.818561
2026,2022-03-03,01:41:25.824826
2011,2022-03-03,01:41:25.830876
2020,2022-03-03,01:41:25.837878
2028,2022-03-03,01:41:25.841881
2012,2022-03-03,01:41:25.848830
2017,2022-03-03,01:41:25.854880
2019,2022-03-03,01:41:25.859881
2014,2022-03-03,01:41:25.865468
2015,2022-03-03,01:41:25.871482
2018,2022-03-03,01:41:25.875922
2007,2022-03-03,01:41:25.879925
2027,2022-03-03,01:41:25.884972
2023,2022-03-03,01:41:25.892943
2025,2022-03-03,01:41:25.897018
2009,2022-03-03,01:41:25.901993
2024,2022-03-03,01:41:25.906991
2031,2022-03-03,01:41:25.911991
